Product A,Product B,Product C,Product D,Product E,Product F,Product G,Product H,Product I,Product J,Product K,Product L,Product M,Product N,Product O,Product P,Product Q,Product R,Product S,Product T,Product U
0,0,0,0,0,140,0,0,82,0,0,0,97,0,202,0,0,0,0,0,0
433,0,34,969,0,680,0,0,421,316,55,0,343,53,130,427,0,0,0,0,0
0,164,53,0,0,0,0,0,243,0,0,236,33,36,737,0,0,1362,127,0,0
0,0,442,0,0,7,0,0,0,0,0,177,47,61,0,0,0,0,0,0,0
0,0,56,0,0,2371,0,0,0,0,411,33,33,15,0,0,68,0,0,5763,0
0,0,238,0,0,0,0,0,0,32,35,0,11,21,100,0,0,0,0,0,88
423,0,0,0,0,222,0,0,0,0,0,49,11,0,0,0,0,0,0,0,0
0,1153,0,1562,0,144,99,0,26,695,0,0,0,147,2477,0,7,1229,437,0,0
0,123,0,42,0,73,247,0,0,0,0,201,91,0,69,0,0,0,0,0,0
49,0,259,0,0,0,0,0,0,0,0,224,18,42,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,163,0,620,0,0,0,0,0,0,0
268,75,0,0,0,41,0,2567,106,0,0,72,0,0,38,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,99,16,0,0,0,0,0,0,2841,120
0,0,217,85,0,0,0,408,59,1241,0,80,66,126,43,22,0,0,0,0,0
1582,387,1244,2971,0,631,931,0,1150,0,0,268,365,88,166,0,0,1618,670,1166,0
376,0,199,45,0,0,0,0,0,40,0,82,0,0,0,0,34,0,0,0,0
0,0,403,0,0,0,48,100,1766,63,0,83,304,254,675,0,0,0,635,0,0
0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,588,0
96,0,10,0,0,49,0,0,0,0,0,145,5,0,513,0,0,0,297,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0
0,0,295,2230,0,0,100,38,0,0,0,0,1770,58,176,0,17,0,127,500,0
0,0,758,0,0,0,0,19,853,0,0,0,132,0,82,0,0,0,0,0,0
0,0,759,676,0,0,0,0,0,638,0,73,10,10,313,0,48,0,0,13414,0
454,0,26,289,0,0,0,0,0,0,0,0,137,0,454,0,0,0,0,0,0
0,92,51,0,0,133,0,255,0,0,0,0,11,0,0,0,122,3044,728,0,0
280,0,202,64,0,0,0,41,0,111,0,35,0,0,107,0,0,0,0,0,0
155,146,0,28,0,0,0,0,1265,30,0,49,802,411,421,0,0,0,986,0,0
958,956,189,1398,221,103,283,42,1288,439,263,883,1750,616,238,1283,0,1466,727,890,0
468,0,321,317,182,0,0,0,50,278,0,28,0,0,35,0,22,7,0,0,0
31,0,0,598,0,89,0,121,160,0,0,0,45,0,168,0,0,0,106,0,0
0,6,121,0,0,100,128,58,0,0,0,62,0,0,58,0,0,0,652,0,0
0,0,0,0,0,45,0,0,0,227,14,136,72,0,0,0,16,0,0,0,0
38,223,805,0,0,0,9,0,0,15,0,99,33,165,20,0,0,125,0,6312,2211
0,0,698,0,0,21,0,0,0,0,0,223,240,5,144,0,0,0,0,0,0
0,220,77,0,0,214,0,42,0,738,0,0,0,39,873,0,0,86,0,0,0
0,0,396,0,0,130,0,18,0,0,0,112,30,42,232,0,90,0,0,0,0
1554,0,176,0,0,487,0,0,0,0,0,420,157,93,1080,0,15,0,0,0,0
0,0,36,495,0,0,14,0,0,15,0,0,10,118,0,0,0,0,0,0,0
0,0,424,1135,0,0,0,0,0,94,23,163,0,0,173,0,0,0,0,0,0
62,0,0,0,0,29,18,0,558,0,0,33,35,551,0,108,0,101,0,0,0
0,0,315,0,0,0,0,113,158,0,0,0,0,0,131,0,0,0,0,0,0
0,0,1460,475,0,0,0,35,0,0,0,0,168,80,258,0,0,6643,0,0,0
0,73,0,0,30,95,955,0,1290,0,0,285,155,62,562,0,0,360,600,4711,0
0,0,0,0,0,35,0,0,0,0,1055,0,0,6,191,0,0,0,0,0,0
0,90,104,2074,0,319,0,0,1107,0,0,147,136,675,47,0,0,809,0,0,0
0,295,149,532,0,20,0,56,2029,0,0,173,107,0,815,0,0,0,694,0,0
2319,0,779,0,0,72,0,0,783,31,0,29,0,0,103,0,127,0,0,0,0
0,36,64,0,0,80,20,0,343,0,0,70,0,0,0,0,0,0,0,0,0
0,0,21,571,0,49,50,20,0,375,0,36,0,0,0,0,0,0,518,361,0
0,30,76,0,0,0,0,0,121,0,0,45,24,225,0,0,7,270,0,3451,0
0,0,0,0,0,52,0,0,0,0,0,401,277,148,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,443,62,50,0,0,0,0,0,0,0
0,0,0,0,0,1392,0,0,0,0,13,88,0,0,161,0,0,0,0,0,0
0,0,100,0,0,0,0,345,34,0,0,200,314,98,106,0,0,0,0,0,0
29,5,578,0,0,0,0,0,0,0,90,51,51,0,3,0,0,0,0,0,0
1585,0,547,0,0,0,0,40,0,0,0,151,0,0,106,0,11,0,0,0,0
6,0,194,0,0,0,0,136,0,31,0,0,151,8,67,0,43,0,0,0,0
106,0,167,0,0,6,0,358,352,0,0,0,0,6,0,0,0,0,0,278,0
87,0,1382,2645,0,1092,1522,19,97,40,888,88,280,62,264,0,0,4414,0,13890,0
0,0,0,0,0,0,0,33,0,0,0,0,0,0,113,0,0,950,0,0,0
0,0,0,286,0,0,1014,0,0,197,0,0,0,0,7,0,0,0,0,0,0
698,0,407,255,0,322,0,0,0,354,0,187,21,15,0,0,0,0,0,0,0
0,151,1830,0,0,0,381,43,192,0,0,19,11,0,0,0,0,525,0,11787,0
0,0,0,0,0,0,0,0,0,0,0,174,230,90,7,0,0,0,0,421,0
30,0,0,0,0,54,0,464,0,0,0,0,0,283,0,0,0,0,0,0,0
965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,221,491,86,0,0,0,0,74,188,195,0,7,0,67,0,7063,0
709,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,512,32,0,15,0,0,815,304,0,313,124,60,100,0,0,2868,0,0,0
0,0,0,28,0,0,0,0,0,302,0,582,136,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,155,328,0,0,168,0,15,0,0,0,0,0,0,0
132,0,0,0,0,0,189,0,0,0,0,80,135,0,433,0,0,0,0,434,0
343,0,120,28,0,0,0,57,87,0,13,48,17,51,128,0,0,0,0,0,1360
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3307,0
-4,0,0,0,0,0,0,94,0,0,0,69,262,0,138,0,0,0,0,0,0
0,156,0,127,221,95,0,0,129,40,0,0,0,0,243,0,0,32,0,0,0
1379,0,14,0,0,0,0,0,0,0,0,201,0,-4,0,0,0,0,0,730,0
1134,304,904,0,0,96,89,127,1923,0,23,49,455,0,794,13031,10,0,193,0,0
0,0,0,0,0,271,14,0,0,94,58,138,66,0,0,0,0,35,396,361,0
106,0,352,1813,825,25,3465,330,287,63,0,154,477,620,70,0,0,549,0,2946,0
0,92,156,150,0,143,0,30,560,1034,0,117,159,633,10,7,59,0,571,1192,0
0,6,0,30,0,353,0,78,141,0,0,12,38,0,60,33,0,0,0,0,0
0,26,593,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
0,0,222,0,0,0,0,190,0,0,0,503,205,0,191,0,0,0,0,0,0
-46,0,0,0,425,0,2,0,0,229,0,0,16,0,0,0,0,0,0,0,0
0,0,782,170,0,103,0,0,0,311,0,104,175,0,95,0,0,0,0,0,0
0,0,31,645,221,0,318,114,0,0,0,380,0,683,99,0,32,168,0,0,1078
165,31,0,0,221,23,0,0,14,0,0,45,125,0,10,0,0,0,0,0,0
0,0,0,85,0,0,0,0,0,88,8,101,74,0,741,100,0,0,0,0,0
0,0,0,482,0,0,0,148,0,0,0,41,116,210,0,0,0,0,0,0,0
0,0,0,0,0,693,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
114,317,26,60,0,0,0,0,180,0,0,53,0,0,17,0,100,0,0,0,0
0,316,1127,0,0,494,0,40,1360,506,0,27,158,74,685,0,0,3156,0,0,681
433,0,186,0,0,316,0,0,0,0,0,55,0,85,0,0,0,0,0,0,0
513,152,179,218,120,0,0,0,0,159,0,0,112,6,411,0,31,373,133,0,0
20,43,176,0,0,0,0,0,0,105,0,61,60,22,0,0,35,2159,0,0,0
0,0,0,0,221,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
923,0,0,1771,0,0,0,0,0,0,0,208,67,22,46,0,336,0,0,0,0
0,895,0,268,0,27,0,252,269,0,0,0,0,0,0,0,0,0,508,8033,0
0,0,264,189,0,7,764,19,0,129,2671,192,0,118,10,0,0,142,0,8098,0
0,0,0,947,0,0,0,19,81,0,0,0,63,337,0,0,0,0,0,0,0
81,42,482,2003,221,179,0,19,0,195,107,380,6,0,0,0,15,154,33,2464,0
0,0,0,0,0,0,0,20,243,0,0,0,33,88,391,0,0,1821,0,387,0
0,13,22,124,0,54,0,110,60,0,0,0,28,11,0,430,0,0,0,0,0
0,156,107,0,0,26,508,0,1076,0,0,0,0,6,84,0,0,0,432,0,0
1192,0,0,0,0,0,0,0,0,0,0,51,0,0,12,0,0,0,0,1232,0
0,0,557,0,0,28,0,19,0,0,0,0,0,0,47,0,0,0,72,0,0
0,0,696,0,221,0,0,0,1279,119,95,97,104,0,0,0,0,0,0,0,0
451,453,674,0,0,2192,135,173,112,0,0,1139,82,71,1323,0,10,0,1981,11708,0
0,0,704,0,0,138,0,0,0,550,0,-18,0,0,9,0,97,0,0,0,0
0,37,1819,109,0,213,0,0,0,492,0,211,114,12,0,0,178,67,0,2783,0
96,110,1085,0,0,0,909,113,237,637,0,109,18,0,243,0,15,0,0,332,0
103,0,12,0,0,0,0,0,0,0,0,284,33,0,0,0,0,102,0,0,0
0,0,0,0,0,0,0,17,0,0,863,0,325,23,2450,0,0,0,0,0,0
612,0,0,0,0,0,0,0,0,47,0,99,10,0,0,0,49,0,0,0,0
0,0,252,1434,0,18,0,57,0,0,0,127,24,0,0,0,0,0,0,0,0
2665,0,1230,0,0,779,0,0,0,30,0,404,132,328,0,0,46,0,0,0,0
44,0,0,0,0,0,156,115,0,0,0,136,0,0,0,0,0,0,319,0,0
0,615,1965,3214,0,195,199,0,0,91,29,513,272,288,0,0,668,423,129,0,0
172,0,869,0,0,130,0,0,0,279,11,88,0,0,38,0,0,0,0,0,0
164,0,101,0,0,51,0,0,38,0,0,17,23,10,0,0,0,0,198,0,0
0,772,629,1548,0,0,0,0,0,0,0,431,257,123,1186,0,35,0,0,0,0
0,0,0,0,0,48,0,0,66,0,156,284,170,0,62,0,0,367,0,0,0
0,0,0,0,0,7,0,0,2842,0,1555,458,0,0,0,0,0,0,0,0,0
257,76,406,56,15,920,38,0,0,16,135,430,21,65,136,150,0,1389,117,1072,292
63,0,244,0,0,76,0,17,0,0,0,0,0,39,17,0,0,1509,131,0,0
0,0,154,497,0,15,165,0,0,15,1678,62,0,6,244,0,233,0,0,0,0
334,645,601,0,0,1603,3,80,963,643,2082,0,12,0,151,223,85,0,464,3075,0
0,0,240,1027,0,49,0,232,17,0,0,123,100,96,0,0,0,0,0,0,0
0,207,1408,45,0,143,0,0,629,1166,0,668,17,0,163,0,0,2761,0,0,393
0,0,55,130,0,0,7,849,0,15,0,276,0,5,9,0,0,0,0,0,0
0,0,43,0,0,0,0,0,181,0,0,0,37,35,68,0,0,875,261,23,0
0,670,0,0,0,8,0,0,19,326,0,0,119,0,349,0,0,0,0,0,0
0,0,0,0,0,48,27,0,0,0,0,0,0,861,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,0,0,0,0,75,0
0,0,135,0,0,0,0,0,351,0,0,23,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4190,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0
0,0,0,172,0,461,0,0,121,126,0,133,33,36,94,0,48,99,0,0,0
0,0,29,90,0,306,0,0,0,0,0,0,375,0,10,0,0,0,0,0,0
253,0,0,-49,0,471,171,0,0,0,0,125,0,12,9,0,0,0,171,0,0
1590,0,1841,2049,0,0,660,0,0,76,0,541,893,71,751,0,86,0,0,0,0
0,0,269,0,0,0,0,0,654,142,0,99,0,0,80,0,41,0,0,0,0
66,0,0,1420,0,0,0,0,0,0,0,226,0,70,0,0,8,0,70,0,0
7,0,0,0,0,0,0,0,12,0,0,133,28,173,0,0,0,0,0,1957,0
65,250,0,0,0,0,0,0,113,0,0,0,0,0,86,0,0,0,0,0,0
0,0,55,693,0,24,0,0,0,0,0,0,0,0,30,0,0,0,0,2401,0
0,6,0,0,0,0,0,0,0,65,0,34,0,0,601,0,0,0,0,0,0
0,0,809,0,0,295,0,185,0,0,0,107,92,20,0,0,0,0,0,0,0
0,0,30,2886,0,86,0,0,0,0,0,221,447,85,-10,0,62,0,0,330,0
40,0,90,0,0,104,0,0,0,78,0,184,30,0,0,0,0,0,0,0,0
0,42,0,0,0,46,0,0,0,0,0,156,72,29,146,0,0,0,0,0,19
0,0,499,3238,0,1130,0,0,0,0,0,199,853,39,76,0,0,0,0,0,0
121,170,148,1760,0,1227,4991,0,0,513,0,0,0,5,8,1020,95,3758,0,0,0
0,0,232,836,0,0,0,62,697,-89,14,120,0,0,0,0,0,2727,0,0,0
0,0,319,0,0,552,0,0,0,0,0,212,0,0,14,0,88,0,0,0,0
0,0,175,0,0,0,0,422,0,124,0,880,142,0,7,0,0,0,0,0,0
0,0,95,0,0,0,203,0,662,0,0,11,0,0,35,0,0,0,0,415,0
169,134,275,1543,0,75,86,0,52,0,0,198,74,340,19,0,0,124,0,0,990
0,0,0,0,0,171,0,18,0,0,45,18,543,0,0,0,0,0,0,0,0
0,0,67,472,135,0,0,0,0,55,0,0,38,93,0,0,225,52,0,0,300
0,0,154,829,0,0,6,0,0,56,0,108,471,54,9,0,0,0,0,0,0
0,0,688,927,0,0,0,0,0,0,0,12,0,13,11,0,9,0,0,0,0
0,0,1745,45,0,0,0,42,0,0,0,154,318,88,145,0,0,0,0,0,2846
0,0,1870,90,0,0,0,0,0,422,543,210,327,62,2160,0,15,0,148,242,0
138,24,84,644,0,0,0,0,0,0,0,183,109,39,19,0,0,0,0,0,0
0,0,270,87,0,0,0,0,0,40,0,146,0,0,72,0,0,0,0,0,0
0,0,69,0,221,64,159,36,31,0,34,17,40,92,50,450,0,545,0,235,0
123,0,1018,1008,0,0,33,40,286,0,0,0,0,0,726,0,0,0,0,5453,0
32,0,6764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,60,782,101,15,45,0,0,298,106,48,705,0,75,811,0,150,0,1129,2958,0
-23,0,0,0,0,99,0,18,251,40,271,151,21,93,89,0,0,0,0,0,0
0,0,29,176,0,6,0,0,0,0,0,0,0,2816,0,0,0,0,0,0,0
0,0,118,2564,0,0,704,0,0,107,0,0,47,0,10,0,0,0,0,0,0
0,0,45,0,0,175,0,0,0,0,0,277,0,29,32,0,0,0,0,8529,0
1321,0,0,0,0,296,14,112,851,0,0,49,0,0,21,0,0,0,0,0,0
1049,0,168,42,0,0,0,0,0,0,0,119,0,169,13,0,0,0,11,0,0
0,0,876,2601,0,20,0,0,0,825,0,0,0,705,218,0,0,0,0,41,0
0,549,656,0,0,105,0,0,226,0,0,0,11,0,1701,1020,0,0,0,0,0
11,0,524,0,0,0,0,0,0,0,0,0,0,127,20,0,0,0,0,0,0
40,0,0,147,0,48,0,0,0,223,0,12,84,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,141,0,0,0,301,35,226,29,0,0,0,0,0,0
0,0,448,0,0,0,0,78,0,0,0,43,142,0,39,0,35,1713,0,0,0
0,0,234,688,78,294,23,19,0,283,0,661,27,422,878,0,159,32,84,292,0
0,36,427,0,0,29,0,0,0,31,0,164,0,0,25,0,0,0,0,2069,0
1131,47,291,3657,0,83,0,0,449,282,0,68,0,226,137,645,0,0,473,1680,0
74,82,139,0,0,602,0,0,0,0,240,43,75,0,29,0,310,0,47,0,0
0,0,0,0,0,1089,6,0,20,0,1396,0,0,0,0,0,0,0,0,0,0
409,0,386,0,0,128,28,218,0,0,0,40,0,0,32,0,0,0,0,0,0
0,0,28,426,0,0,0,20,0,135,0,51,112,98,0,0,0,0,0,0,0
0,0,50,1288,0,0,0,0,0,0,0,0,0,0,0,0,569,0,0,0,0
23,0,0,1102,0,243,0,0,0,0,0,50,0,0,305,0,0,0,0,0,0
0,0,0,0,0,17,0,0,108,0,0,0,377,0,0,0,0,0,0,0,0
1262,0,470,0,0,0,0,0,0,0,0,85,17,0,185,0,0,0,0,0,0
948,66,383,525,0,0,-118,638,0,0,0,0,197,0,31,0,0,0,0,0,0
86,0,0,577,0,0,0,0,179,0,0,81,5,28,20,0,0,0,0,0,0
0,13,72,0,0,34,60,61,211,0,0,151,22,0,0,0,0,0,0,0,0
141,270,391,3412,0,0,8,0,1001,466,0,49,0,211,20,100,19,0,0,0,0
0,0,0,0,0,206,0,0,10,0,0,0,0,0,0,0,0,0,329,0,0
0,0,1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,221,140,217,0,267,0,313,129,36,311,1294,150,0,229,141,303,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,0,0,0,553,0
438,0,977,0,0,149,0,0,0,0,0,96,-6,9,33,0,0,0,0,0,0
0,0,1441,518,0,456,0,282,0,846,0,51,0,0,49,0,0,0,0,0,0
77,367,231,0,338,0,317,0,474,170,0,303,619,553,707,363,70,645,227,0,0
0,0,25,0,0,127,0,0,0,0,24,0,0,58,911,0,0,0,0,1814,0
0,39,612,32,221,300,457,18,149,218,48,23,98,101,1382,912,0,441,0,4739,38
0,219,71,0,0,0,0,0,1683,548,0,171,0,0,169,0,0,0,63,0,0
0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0
217,0,1387,652,0,0,0,0,0,47,0,0,0,0,52,0,0,0,0,0,0
341,184,144,0,0,0,41,0,0,307,14,19,23,0,216,0,0,0,0,0,0
0,0,481,0,0,8,0,67,0,0,0,0,0,12,18,40,0,0,0,0,0
0,0,183,2946,0,268,0,0,0,1396,0,16,0,125,148,0,0,0,0,0,0
0,0,154,0,221,16,0,0,0,0,15,0,0,132,93,0,0,0,0,0,0
1191,0,287,0,0,0,0,1449,0,0,0,107,0,203,22,0,0,0,0,0,0
0,0,1041,0,0,48,0,0,0,0,0,46,0,70,0,0,0,0,0,0,0
734,156,0,1181,0,100,0,250,0,0,0,373,66,0,419,0,0,286,0,4390,0
0,0,13,417,0,579,0,117,0,31,0,282,119,0,29,0,0,0,0,0,0
0,0,0,0,0,0,0,21,0,0,0,91,217,737,0,0,0,0,0,0,0
0,0,177,0,0,153,327,857,0,0,0,206,40,0,77,0,20,0,271,0,0
0,129,132,32,0,2324,0,18,0,218,0,16,0,1132,616,0,0,1220,0,0,0
0,0,489,0,0,0,0,0,0,0,0,134,0,0,29,0,8,0,0,979,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027,0
0,0,295,838,0,0,0,0,0,0,0,0,199,30,0,0,145,1138,0,0,0
0,0,1484,619,15,2704,0,0,12,123,0,118,5737,7,345,0,0,0,0,0,0
142,31,283,1258,0,0,0,0,0,0,0,0,0,0,195,0,0,211,996,0,0
0,0,121,399,0,0,0,0,37,186,74,27,0,538,307,0,0,0,0,480,0
30,0,73,1290,0,655,0,290,0,938,0,199,534,80,157,0,0,0,0,0,0
121,0,1015,0,0,0,0,0,0,30,0,35,15,70,313,0,0,0,0,3026,0
0,0,0,0,0,459,0,0,50,0,0,0,36,0,0,0,0,0,0,0,0
0,37,413,0,0,285,0,129,7,0,23,0,0,0,213,0,0,0,1356,0,0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,611,0
0,0,68,0,0,0,13,70,247,0,200,0,97,0,0,0,0,0,0,0,0
0,0,783,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0
0,0,175,349,0,1031,0,0,0,0,140,52,22,0,0,0,0,0,0,0,0
0,282,133,26,0,89,0,0,1846,0,0,201,164,360,0,0,50,0,0,0,0
522,0,0,594,0,0,0,78,537,596,0,92,35,0,293,0,0,0,0,0,0
201,48,379,105,0,8,0,0,0,0,0,127,32,0,471,99,0,46,0,104,0
0,279,236,0,0,0,0,73,0,170,182,74,24,0,196,0,0,0,0,584,0
0,278,0,45,0,0,0,345,56,0,0,407,184,0,0,0,0,0,0,50,0
0,0,0,0,69,0,0,136,0,543,0,35,34,0,0,0,0,0,0,0,0
715,196,0,0,0,0,0,196,64,61,0,119,0,0,26,0,0,0,0,0,0
467,184,900,0,0,0,0,0,134,0,2696,1721,172,0,14,0,0,40,0,0,0
0,0,329,0,0,307,1772,17,0,0,0,0,0,17,104,0,450,0,0,0,0
0,0,313,0,0,446,0,0,0,0,773,0,0,155,0,0,0,95,0,1409,0
0,0,0,417,0,21,0,0,0,38,0,477,410,113,0,0,32,0,0,0,0
